modulation,mod_order,bits_per_symbol,snr_db,ber,num_bits
OFDM-QPSK,4,2,0,0.16105769230769232,50000
OFDM-QPSK,4,2,2,0.10204326923076923,50000
OFDM-QPSK,4,2,4,0.05703125,50000
OFDM-QPSK,4,2,6,0.02215544871794872,50000
OFDM-QPSK,4,2,8,0.006490384615384616,50000
OFDM-QPSK,4,2,10,0.0009014423076923077,50000
OFDM-QPSK,4,2,12,2.0032051282051282e-05,50000
OFDM-QPSK,4,2,14,0.0,50000
OFDM-QPSK,4,2,16,0.0,50000
OFDM-QPSK,4,2,18,0.0,50000
OFDM-QPSK,4,2,20,0.0,50000
OFDM-QPSK,4,2,22,0.0,50000
OFDM-QPSK,4,2,24,0.0,50000
OFDM-QPSK,4,2,26,0.0,50000
OFDM-QPSK,4,2,28,0.0,50000
OFDM-QPSK,4,2,30,0.0,50000
OFDM-16QAM,16,4,0,0.28575721153846156,50000
OFDM-16QAM,16,4,2,0.23731971153846154,50000
OFDM-16QAM,16,4,4,0.18818108974358974,50000
OFDM-16QAM,16,4,6,0.14064503205128207,50000
OFDM-16QAM,16,4,8,0.09943910256410256,50000
OFDM-16QAM,16,4,10,0.05602964743589744,50000
OFDM-16QAM,16,4,12,0.028525641025641025,50000
OFDM-16QAM,16,4,14,0.009194711538461539,50000
OFDM-16QAM,16,4,16,0.0014423076923076924,50000
OFDM-16QAM,16,4,18,0.0001201923076923077,50000
OFDM-16QAM,16,4,20,0.0,50000
OFDM-16QAM,16,4,22,0.0,50000
OFDM-16QAM,16,4,24,0.0,50000
OFDM-16QAM,16,4,26,0.0,50000
OFDM-16QAM,16,4,28,0.0,50000
OFDM-16QAM,16,4,30,0.0,50000
OFDM-64QAM,64,6,0,0.35709134615384613,50000
OFDM-64QAM,64,6,2,0.32584134615384613,50000
OFDM-64QAM,64,6,4,0.2854567307692308,50000
OFDM-64QAM,64,6,6,0.24078525641025642,50000
OFDM-64QAM,64,6,8,0.1946113782051282,50000
OFDM-64QAM,64,6,10,0.15144230769230768,50000
OFDM-64QAM,64,6,12,0.11342147435897436,50000
OFDM-64QAM,64,6,14,0.07978766025641025,50000
OFDM-64QAM,64,6,16,0.04937900641025641,50000
OFDM-64QAM,64,6,18,0.022596153846153846,50000
OFDM-64QAM,64,6,20,0.009334935897435897,50000
OFDM-64QAM,64,6,22,0.0018830128205128205,50000
OFDM-64QAM,64,6,24,0.0002203525641025641,50000
OFDM-64QAM,64,6,26,0.0,50000
OFDM-64QAM,64,6,28,0.0,50000
OFDM-64QAM,64,6,30,0.0,50000
OFDM-256QAM,256,8,0,0.39426949097938147,50000
OFDM-256QAM,256,8,2,0.3649122100515464,50000
OFDM-256QAM,256,8,4,0.34062902706185566,50000
OFDM-256QAM,256,8,6,0.30738563144329895,50000
OFDM-256QAM,256,8,8,0.27271262886597936,50000
OFDM-256QAM,256,8,10,0.23944909793814434,50000
OFDM-256QAM,256,8,12,0.19982280927835053,50000
OFDM-256QAM,256,8,14,0.15880718427835053,50000
OFDM-256QAM,256,8,16,0.12427512886597938,50000
OFDM-256QAM,256,8,18,0.0936291881443299,50000
OFDM-256QAM,256,8,20,0.06564110824742268,50000
OFDM-256QAM,256,8,22,0.04071359536082474,50000
OFDM-256QAM,256,8,24,0.01993395618556701,50000
OFDM-256QAM,256,8,26,0.007329252577319588,50000
OFDM-256QAM,256,8,28,0.0015906894329896907,50000
OFDM-256QAM,256,8,30,0.00020135309278350514,50000
