profile,snr_db,ber,bler,n_realizations,num_bits,delay_spread_samples
TDL-A,0,0.1904998779296875,1.0,80,4096,4.0
TDL-A,3,0.1184661865234375,1.0,80,4096,4.0
TDL-A,6,0.0627716064453125,1.0,80,4096,4.0
TDL-A,9,0.03265380859375,1.0,80,4096,4.0
TDL-A,12,0.0150146484375,0.9875,80,4096,4.0
TDL-A,15,0.0084197998046875,0.9125,80,4096,4.0
TDL-A,18,0.0046783447265625,0.8875,80,4096,4.0
TDL-A,21,0.001385498046875,0.5875,80,4096,4.0
TDL-A,24,0.0008331298828125,0.3625,80,4096,4.0
TDL-A,27,0.000384521484375,0.2375,80,4096,4.0
TDL-A,30,0.000140380859375,0.1125,80,4096,4.0
TDL-B,0,0.2004638671875,1.0,80,4096,4.0
TDL-B,3,0.1348297119140625,1.0,80,4096,4.0
TDL-B,6,0.0855712890625,1.0,80,4096,4.0
TDL-B,9,0.0440948486328125,1.0,80,4096,4.0
TDL-B,12,0.0235992431640625,1.0,80,4096,4.0
TDL-B,15,0.0126434326171875,0.975,80,4096,4.0
TDL-B,18,0.006329345703125,0.9875,80,4096,4.0
TDL-B,21,0.0026947021484375,0.7625,80,4096,4.0
TDL-B,24,0.0020538330078125,0.675,80,4096,4.0
TDL-B,27,0.0009918212890625,0.4375,80,4096,4.0
TDL-B,30,0.0003448486328125,0.1875,80,4096,4.0
TDL-C,0,0.1968170166015625,1.0,80,4096,4.0
TDL-C,3,0.128350830078125,1.0,80,4096,4.0
TDL-C,6,0.07574462890625,1.0,80,4096,4.0
TDL-C,9,0.038946533203125,1.0,80,4096,4.0
TDL-C,12,0.01824951171875,1.0,80,4096,4.0
TDL-C,15,0.01063232421875,0.9625,80,4096,4.0
TDL-C,18,0.005474853515625,0.8375,80,4096,4.0
TDL-C,21,0.0033782958984375,0.775,80,4096,4.0
TDL-C,24,0.00155029296875,0.5,80,4096,4.0
TDL-C,27,0.0005950927734375,0.325,80,4096,4.0
TDL-C,30,0.00045166015625,0.2,80,4096,4.0
